f_Sig mu_fSig sigma_fSig mu_ratio sigma_ratio mu_BR sigma_BR mu_RTAU sigma_RTAU
0.00055 0.000539306 0.000906613 0.00082664 0.0013887 7.61812e-05 0.000128183 0.000182876 0.000307234
0.00056 0.00055166 0.000915182 0.000845729 0.00140209 7.80649e-05 0.000129348 0.000187136 0.000310254
0.00057 0.000552632 0.000892947 0.000847083 0.00136763 7.80425e-05 0.00012615 0.000187424 0.000302597
0.00058 0.000570474 0.000901696 0.00087437 0.00138129 8.05664e-05 0.000127242 0.000193454 0.000305608
0.0006 0.000585208 0.000895216 0.000896756 0.00137107 8.26537e-05 0.000126368 0.000198423 0.000303386
0.00065 0.000651798 0.000899979 0.000998714 0.0013783 9.20764e-05 0.000127284 0.000220952 0.00030492
0.0007 0.000686372 0.000897293 0.00105186 0.00137471 9.69736e-05 0.000126907 0.000232729 0.000304189
0.00075 0.000754436 0.000902161 0.001156 0.00138223 0.000106383 0.000127394 0.000255754 0.000305796
0.0008 0.000795606 0.000913673 0.00121918 0.00139992 0.000112358 0.000129346 0.00026976 0.000309759
0.00085 0.000849404 0.000902342 0.00130131 0.00138227 0.000119876 0.000127559 0.000287958 0.000305848
0.0009 0.00089866 0.000908181 0.00137675 0.00139128 0.000126833 0.00012829 0.000304604 0.000307827
0.00095 0.000946265 0.000911299 0.00144972 0.00139624 0.0001337 0.000129051 0.000320777 0.000308945
0.001 0.000982632 0.000903936 0.00150566 0.00138535 0.00013868 0.000128003 0.00033317 0.00030655
0.00105 0.00103226 0.000911334 0.00158138 0.00139621 0.000145587 0.000128888 0.000349888 0.000308935
0.0011 0.00108777 0.000906778 0.00166624 0.00138933 0.000153423 0.000128407 0.000368655 0.000307391
0.00115 0.00112585 0.00090159 0.00172456 0.00138169 0.000159054 0.000127947 0.000381584 0.000305706
0.0012 0.00120934 0.000908244 0.0018524 0.0013919 0.000170522 0.00012865 0.000409805 0.000307965
0.00125 0.00122027 0.000912095 0.00186919 0.00139759 0.000172182 0.000129284 0.000413594 0.000309247
0.0013 0.00128567 0.000907617 0.00196909 0.00139075 0.00018156 0.000128954 0.000435691 0.000307774
0.00135 0.00134112 0.000921375 0.00205411 0.00141203 0.000189426 0.000130733 0.000454494 0.000312439
0.0014 0.00139191 0.000911164 0.00213194 0.00139638 0.00019633 0.000129029 0.000471722 0.000308968
0.00145 0.00145302 0.00091321 0.00222563 0.00139994 0.000205073 0.00012992 0.000492459 0.000309794
0.0015 0.00146312 0.000912922 0.00224091 0.00139912 0.000206624 0.000129738 0.000495798 0.000309506
0.00155 0.00153157 0.000900735 0.00234574 0.00138088 0.000216028 0.000127838 0.000519087 0.000305632
0.0016 0.00159307 0.000911871 0.00244001 0.001398 0.000224977 0.000129741 0.000539882 0.000309341
0.00165 0.00164498 0.00090963 0.00251958 0.00139477 0.000232373 0.000129564 0.000557474 0.000308589
0.0017 0.00168971 0.000915865 0.00258788 0.00140393 0.000238198 0.000130258 0.000572643 0.000310653
0.00175 0.00173398 0.000907123 0.00265554 0.00139073 0.000244887 0.000129411 0.000587572 0.000307727
0.0018 0.00179365 0.000908228 0.00274667 0.00139217 0.000253103 0.000129141 0.00060774 0.000308074
0.00185 0.00184585 0.000911475 0.00282674 0.00139705 0.000260694 0.000129802 0.000625469 0.000309138
0.0019 0.00188379 0.000911309 0.00288511 0.00139723 0.000265683 0.000129695 0.000638321 0.000309163
0.0019 0.0018794 0.000907216 0.00287803 0.00139077 0.000265361 0.000129145 0.000636805 0.000307762
0.00195 0.00194703 0.000912204 0.00298156 0.00139834 0.000274995 0.000130144 0.000659657 0.000309345
0.002 0.00197936 0.000908306 0.0030314 0.00139312 0.000279414 0.000129816 0.000670725 0.000308263
0.00205 0.00204854 0.000912795 0.00313736 0.00139986 0.000289082 0.000129923 0.000694102 0.000309721
0.0021 0.00209033 0.000924271 0.00320145 0.00141776 0.000295237 0.000132143 0.000708363 0.000313734
